SKU_ID,Total_Units_Sold,Total_Revenue,Total_COGS,Avg_Inventory,Avg_Inventory_Value,Below_ROP_Days,Avg_Lead_Time,Promo_Days,Avg_Unit_Cost,Avg_Unit_Price,Avg_Forecast_Acc,Total_Days,Gross_Profit,Margin_Pct,Inventory_Turnover,Avg_DOI,Cumulative_Rev_Pct,ABC_Class,CoV,XYZ_Class
SKU_23,36698,712132.9,505951.88,459.5117808219178,6434.547873972602,97,8.4,166,13.728,19.325999999999997,83.24699817075391,1825,206181.02000000002,28.95260421193853,78.63052539348537,4.641963132936674,40.419797870991516,A,44.12421439311241,Y
SKU_6,36213,698517.0,437642.44,455.8767123287671,5268.903736986302,96,9.4,186,12.076,19.272000000000002,83.83684554137018,1825,260874.56,37.34691639573553,83.06138465348428,4.394340420915303,42.509518307312774,A,44.228505446053,Y
SKU_29,36737,695975.25,520550.30000000005,453.453698630137,6482.006756164384,92,9.4,186,14.212000000000002,18.992,83.3241832828572,1825,175424.94999999995,25.205630516315047,80.30696658946816,4.545060229530172,44.59163470977513,A,46.70744932868229,Y
SKU_39,36583,682971.1,414367.24,499.7402739726027,5564.969994520548,98,7.4,174,11.371999999999998,18.752000000000002,83.88110453489877,1825,268603.86,39.32873001507677,74.45992348709868,4.90196582142932,46.63484720866465,A,44.20041065717065,Y
SKU_32,36647,673421.18,518434.46,465.9616438356164,6763.42674520548,96,5.0,184,14.166,18.412,83.60737916508513,1825,154986.72000000003,23.014827065581752,76.65263179903776,4.761741266195924,48.64948966131445,A,45.0568749014144,Y
SKU_33,37012,673070.84,440022.66,481.91616438356164,5700.150816438356,95,7.8,195,11.914,18.227999999999998,84.29126298202183,1825,233048.18,34.624613955939616,77.19491539259671,4.728290693029309,50.66308401827343,A,44.259652631070395,Y
SKU_19,36255,672297.63,439898.02999999997,477.6,5683.067895890411,93,6.2,203,12.104,18.496000000000002,83.93966088266657,1825,232399.60000000003,34.56796359671832,77.40502806910028,4.715455947825,52.674365199263086,A,44.796851708158094,Y
SKU_16,36496,671339.8,458535.11,520.8427397260274,6509.279671232877,93,7.4,179,12.576,18.407999999999998,83.56525978319182,1825,212804.69000000006,31.698506479133226,70.44329528910102,5.181472537620948,54.68278088531772,A,45.69627356041116,Y
SKU_3,36785,668701.09,415009.7,443.6093150684932,5061.0494520547945,98,10.6,198,11.283999999999999,18.176,83.57353643492335,1825,253691.38999999996,37.937935767384495,82.0007201928259,4.451180418192635,56.683302466844445,A,45.65559670604335,Y
SKU_27,36423,665868.13,459960.1,490.90027397260275,6084.046816438356,92,5.0,181,12.62,18.258,83.74001282558332,1825,205908.03000000003,30.923244516898567,75.60101259530805,4.8279776615406425,58.67534881525975,A,45.95226075479722,Y
SKU_43,36535,646114.5499999999,443451.55,498.18520547945207,6035.912706849314,94,10.4,157,12.094,17.618,83.92045871448227,1825,202662.99999999994,31.366419468498265,73.46884746971055,4.968092090330949,60.60829930800298,A,45.08638134691216,Y
SKU_18,37234,644766.53,448393.37,463.6997260273973,5580.587643835616,94,8.0,202,12.072000000000001,17.34,83.94308926049308,1825,196373.16000000003,30.456475462521297,80.34877303563195,4.542695379282704,62.537216992750736,A,45.61150576971053,Y
SKU_35,36441,643114.31,418078.83,437.27232876712327,5050.094065753425,96,6.8,175,11.46,17.634,83.24137417167867,1825,225035.48000000004,34.9915211807369,82.78634507724298,4.408939658580655,64.46119180867883,A,44.74509817715409,Y
SKU_21,36406,636619.6,431672.35,483.72438356164383,5643.815309589041,96,8.8,212,11.873999999999999,17.483999999999998,83.31935735935411,1825,204947.25,32.193047465079616,76.48591003085686,4.772120771691771,66.3657367063444,A,46.24791032446925,Y
SKU_50,36604,634011.0,440173.78,408.51068493150683,4800.902471232876,99,9.0,177,11.996,17.264,84.18625340600595,1825,193837.21999999997,30.573163557099164,91.68563257377794,3.980994510849783,68.26247757815209,A,44.76359854370257,Y
SKU_26,36398,623326.54,438327.52,485.1287671232877,6060.382010958904,96,7.8,200,12.048,17.144,83.13995493582476,1825,184999.02000000002,29.67931062264732,72.32671458785576,5.046544725277573,70.12725425379408,B,46.273438639229326,Y
SKU_30,36557,617739.29,401699.4,437.8986301369863,4750.678273972602,93,5.6,203,11.02,16.964,83.96974418836531,1825,216039.89,34.97266460095164,84.55622057186622,4.316654617856037,71.97531581655001,B,44.33520830091528,Y
SKU_1,37026,617298.4,428617.62,514.6816438356165,6073.868860273972,92,8.2,184,11.562000000000001,16.663999999999998,84.48052863814229,1825,188680.78000000003,30.565570881116816,70.56748011195396,5.172354169667593,73.82205838944145,B,44.09153530593284,Y
SKU_36,36594,604862.63,375074.47000000003,465.53205479452055,4675.1496931506845,97,11.4,185,10.266,16.55,83.63600452273674,1825,229788.15999999997,37.99014000914555,80.22726428407242,4.549575549623518,75.6315974544578,B,45.6738958279255,Y
SKU_7,36462,602905.85,397269.14,494.55835616438355,5164.900065753424,95,4.6,198,10.866,16.486,83.11590843671193,1825,205636.70999999996,34.10759905547442,76.91710099758703,4.745368653603448,77.43528251283526,B,46.36626477374465,Y
SKU_9,36855,593421.66,404923.07,487.48986301369865,5425.70744109589,97,10.6,192,10.99,16.102,84.40522628555958,1825,188498.59000000003,31.764696623982346,74.63046513215855,4.890764104895283,79.21059416632069,B,44.68251952373259,Y
SKU_5,36457,590291.53,376893.96,457.3523287671233,4619.174980821917,98,8.2,167,10.342,16.2,83.45175102431851,1825,213397.57,36.15121667085415,81.5933498005172,4.473403787102344,80.9765415571907,B,44.77962789208293,Y
SKU_12,36794,582012.28,432818.22000000003,466.3605479452055,5551.907846575343,97,7.0,190,11.762,15.82,83.91460330775783,1825,149194.06,25.634177340725522,77.95846616347947,4.681980264139527,82.71772030546158,B,45.47896545970646,Y
SKU_24,36381,577503.45,369516.92,468.00219178082193,4903.658076712329,95,7.4,167,10.16,15.873999999999999,83.86190222126721,1825,207986.52999999997,36.0147683966217,75.35536006371464,4.843716488002769,84.44541019920938,B,44.5729111351339,Y
SKU_28,36481,577000.84,411249.08999999997,481.093698630137,5532.141397260274,97,7.4,185,11.27,15.812,83.36103007604648,1825,165751.75,28.7264313168071,74.33813788701534,4.909996542484752,86.17159645827329,B,46.02148954694208,Y
SKU_45,36347,576849.88,416914.37,440.8164383561644,4902.159561643835,97,6.0,183,11.452,15.846,83.6818051427001,1825,159935.51,27.725672752155205,85.0470827718624,4.2917403878403135,87.89733109740942,B,44.416034026013335,Y
SKU_49,36479,553957.45,386800.96,447.6728767123288,4944.387189041096,97,8.4,186,10.617999999999999,15.218,83.76252440228508,1825,167156.48999999993,30.174969214693288,78.23031352749206,4.665710560801089,89.55457953104442,B,44.95861946880298,Y
SKU_42,36637,544829.43,372790.4,485.33753424657533,4793.566728767123,97,8.4,188,10.164,14.844,83.537706798666,1825,172039.03000000003,31.576677126270514,77.76889758576064,4.693393005828476,91.18452009681485,C,45.26968767852255,Y
SKU_47,36912,538811.71,354425.25,514.6668493150685,4951.057654794521,90,8.6,188,9.612,14.606,83.90813872595635,1825,184386.45999999996,34.22094519809155,71.58576504492541,5.098779062721971,92.79645773285836,C,44.11766543651986,Y
SKU_41,36532,525021.08,348936.62,523.9704109589042,4847.197610958904,93,11.2,181,9.533999999999999,14.326,83.27604105678449,1825,176084.45999999996,33.53855049020126,71.98728997784167,5.070339501769691,94.3671385901252,C,45.38031723087695,Y
SKU_25,36590,504606.79,339268.13,467.8378082191781,4332.109928767123,92,6.2,183,9.256,13.76,83.6401876728346,1825,165338.65999999997,32.76584129991591,78.31475552988852,4.660679810980183,95.87674697670629,C,44.35343177427916,Y
SKU_14,36585,494097.5,366394.49,445.7605479452055,4349.286531506849,105,8.8,204,9.974,13.456,84.49846686042429,1825,127703.01000000001,25.845710613795863,84.2424354766664,4.3327332351531815,97.35491521496714,C,45.67854408021474,Y
SKU_34,36537,453535.21,287617.32,445.99013698630137,3480.7856493150684,93,5.6,191,7.862,12.418,83.01841850147854,1825,165917.89,36.58324344872805,82.63000051629031,4.41728183128888,98.71173515911774,C,45.16574474005231,Y
SKU_44,36683,430619.75,276995.36,430.5528767123288,3260.7125369863015,94,7.6,195,7.564000000000001,11.762,83.09609002542223,1825,153624.39,35.675184428953855,84.94933449607663,4.296678745810039,100.0,C,45.47476528972613,Y
